Mese (Italy);tgn,1045354;is:pleiades:162338
Ambert (France);tgn,1031756;is:pleiades:167643
Amber (United Kingdom);tgn,1121169;is:pleiades:167643
Andance (France);tgn,1031774;is:pleiades:167644
Annonay (France);tgn,7008637;is:pleiades:167647
Barjac (France);tgn,1032018;is:pleiades:167665
Barles (France);tgn,1032020;is:pleiades:167666
Bas-en-Basset (France);tgn,1032028;is:pleiades:167667
Beaulieu (France);tgn,7008389;is:pleiades:167670
Beaulieu (United Kingdom);tgn,7011388;is:pleiades:167670
Beaulieu (France);tgn,1032055;is:pleiades:167670
Beaune (France);tgn,7008221;is:pleiades:167672
Besseges (France);tgn,1032129;is:pleiades:167678
Boutae (France);tgn,1031797;is:pleiades:167685
Cognin (France);tgn,7009046;is:pleiades:167714
Donzere (France);tgn,1032957;is:pleiades:167741
Genolhac (France);tgn,1033221;is:pleiades:167782
Hauteville-Lompnes (France);tgn,1033421;is:pleiades:167789
Lanslevillard (France);tgn,1033790;is:pleiades:167800
Lezoux (France);tgn,6003357;is:pleiades:167810
Marignac (France);tgn,5001199;is:pleiades:167824
Mont Saleve (France);tgn,1106285;is:pleiades:167843
La Mure (France);tgn,1033681;is:pleiades:167847
Orsieres (Switzerland);tgn,7007439;is:pleiades:167862
Passy (France);tgn,7009424;is:pleiades:167866
Roanne (France);tgn,7009472;is:pleiades:167885
Salins-les-Thermes (France);tgn,1035601;is:pleiades:167909
Segusio (Italy);tgn,7005724;is:pleiades:167919
Solignac (France);tgn,4010571;is:pleiades:167926
Solignac-sur-Loire (France);tgn,1035747;is:pleiades:167926
Alesia (France);tgn,7008213;is:pleiades:177434
Aquae Helveticae (Switzerland);tgn,7007314;is:pleiades:177445
Arcy-sur-Cure (France);tgn,7008648;is:pleiades:177450
Beneuvre (France);tgn,1032107;is:pleiades:177470
Bern (Switzerland);tgn,7003742;is:pleiades:177471
Bern (Switzerland);tgn,7007557;is:pleiades:177471
Bibracte (France);tgn,6000798;is:pleiades:177473
Autun (France);tgn,7008237;is:pleiades:177473
Utan (Indonesia);tgn,1078843;is:pleiades:177473
Bourbonne-les-Bains (France);tgn,7008964;is:pleiades:177476
Buchs (Switzerland);tgn,1138708;is:pleiades:177482
Dole (France);tgn,7009146;is:pleiades:177507
Izernore (France);tgn,1033499;is:pleiades:177545
Lenzburg (Switzerland);tgn,7007273;is:pleiades:177557
Liestal (Switzerland);tgn,7007399;is:pleiades:177561
Mirebeau (France);tgn,1034394;is:pleiades:177581
Orbe;tgn,1128135;is:pleiades:177598
Pierre-de-Bresse (France);tgn,7009430;is:pleiades:177604
Pully (Switzerland);tgn,1064310;is:pleiades:177608
Salodurum (Switzerland);tgn,7007295;is:pleiades:177624
Urba (Switzerland);tgn,7007438;is:pleiades:177648
Vindonissa (Switzerland);tgn,7017421;is:pleiades:177661
Yvonand (Switzerland);tgn,1064539;is:pleiades:177669
Via Flaminia (Italy);tgn,6006327;is:pleiades:18271441
Via Latina (Italy);tgn,6006328;is:pleiades:18271442
Via Cassia (Italy);tgn,6006326;is:pleiades:18271445
Via Appia (Italy);tgn,6006324;is:pleiades:18271448
Via Valeria (Italy);tgn,6006331;is:pleiades:18271456
Aguntum (Tyrol, Austria);tgn,7005622;is:pleiades:187265
Amden (Switzerland);tgn,7007308;is:pleiades:187281
Bormio (Italy);tgn,1043591;is:pleiades:187289
Aquileia (Italy);tgn,7005553;is:pleiades:187290
Arbedo (Switzerland);tgn,1063903;is:pleiades:187291
Balzers (Liechtenstein);tgn,1047532;is:pleiades:187307
Bauzanum (Italy);tgn,7004967;is:pleiades:187308
Bolzano (Italy);tgn,1003440;is:pleiades:187308
Belluno (Italy);tgn,7002991;is:pleiades:187311
Belluno (Italy);tgn,7003325;is:pleiades:187311
Bludenz (Vorarlberg, Austria);tgn,1025456;is:pleiades:187318
Bonaduz (Switzerland);tgn,1063951;is:pleiades:187319
Brixen (Italy);tgn,7005433;is:pleiades:187322
Brigantium (Vorarlberg, Austria);tgn,7003116;is:pleiades:187325
Calalzo di Cadore (Italy);tgn,1043718;is:pleiades:187333
Cambodunum (Bavaria, Germany);tgn,7012530;is:pleiades:187335,is:pleiades:92124
Cesiomaggiore (Italy);tgn,1044190;is:pleiades:187347
Chiavenna (Italy);tgn,7006037;is:pleiades:187349
Clunia (Vorarlberg, Austria);tgn,7003119;is:pleiades:187350
Durrnberg (Salzburg, Austria);tgn,7004521;is:pleiades:187366
Feldkirchen (Karnten, Austria);tgn,1025532;is:pleiades:187376
Feltria (Italy);tgn,7003331;is:pleiades:187377
Filzbach (Switzerland);tgn,1064051;is:pleiades:187379
Freienbach (Switzerland);tgn,1064059;is:pleiades:187387
Grobming (Steiermark, Austria);tgn,1025586;is:pleiades:187401
Hallein (Salzburg, Austria);tgn,7003258;is:pleiades:187405
Hallstatt (Oberosterreich, Austria);tgn,7003272;is:pleiades:187406
Hochtor (Austria);tgn,1108422;is:pleiades:187410
Imst (Tyrol, Austria);tgn,7003250;is:pleiades:187417
Kloten (Switzerland);tgn,1064146;is:pleiades:187440
Kundl (Tyrol, Austria);tgn,1025750;is:pleiades:187441
Lendorf (Karnten, Austria);tgn,1025782;is:pleiades:187451
Lozzo di Cadore (Italy);tgn,1045141;is:pleiades:187461
Mezzocorona (Italy);tgn,1045366;is:pleiades:187476
Mollis (Switzerland);tgn,1064238;is:pleiades:187479
Oberammergau (Bavaria, Germany);tgn,7004703;is:pleiades:187493
Oberdrauburg (Karnten, Austria);tgn,1025899;is:pleiades:187494
Pieve di Cadore (Italy);tgn,7003332;is:pleiades:187509
Plockenpass;tgn,1108515;is:pleiades:187514
Ramsau (Bavaria, Germany);tgn,1040817;is:pleiades:187525
Schaan (Liechtenstein);tgn,1047536;is:pleiades:187541
